1789851600,148962,29,0,1,0,0.00,8.00
1789851601,105499,37,0,1,0,0.00,37.37
1789851602,295033,75,0,1,0,0.00,8.51
1789851603,148567,36,0,1,0,0.00,8.08
1789851604,133100,96,0,1,0,0.00,21.00
1789851605,121631,82,0,1,0,0.00,17.35
1789851606,2264154,85,0,1,0,1.00,16.67
1789851607,106691,122,0,1,0,0.00,22.68
1789851608,1776213,132,0,1,0,0.00,28.71
1789851609,109745,90,0,1,0,0.00,20.00
1789851610,132270,103,0,1,0,0.00,21.05
1789851611,122794,95,0,1,0,0.00,19.19
1789851612,132317,79,0,1,0,0.00,19.00
1789851613,121839,75,0,1,0,0.00,14.43
1789851614,115360,84,0,1,0,0.00,18.81
1789851615,122879,55,0,1,0,0.00,8.51
1789851616,116397,70,0,1,0,0.00,17.00
1789851617,114914,69,0,2,0,0.00,13.40
1789851618,109430,80,0,1,0,0.00,17.35
1789851619,142944,62,0,1,0,0.00,14.29
1789851620,114458,54,0,1,0,0.00,12.12
1789851621,283970,62,1,2,0,0.00,17.82
1789851622,115481,70,0,1,0,0.00,13.54
1789851623,142991,65,0,1,0,0.00,15.00
1789851624,115500,48,1,2,0,0.00,9.18
1789851625,120008,64,0,1,0,0.00,17.31
1789851626,123514,62,0,0,0,0.00,13.27
1789851627,135019,63,0,2,0,0.00,15.00
1789851628,843521,22,0,0,0,0.00,6.12
1789851629,714024,33,0,1,0,1.00,9.09
1789851630,125528,81,0,1,0,0.00,12.37
1789851631,130029,55,0,1,0,0.00,13.00
1789851632,192528,47,0,1,0,0.00,12.00
1789851633,115026,47,1,2,0,0.00,9.28
1789851634,126524,60,0,1,0,0.00,15.00
1789851635,112020,50,0,1,0,0.00,9.28
1789851636,126514,58,0,1,0,0.00,14.29
1789851637,118008,45,1,2,0,0.00,13.13
1789851638,124501,57,0,1,0,0.00,14.14
1789851639,114992,48,1,2,0,0.00,11.11
1789851640,2201475,44,0,1,0,1.00,10.20
1789851641,144972,52,0,1,0,0.00,10.31
1789851642,124460,47,0,1,0,0.00,12.00
1789851643,116947,47,0,1,0,0.00,10.10
1789851644,143433,57,0,1,0,0.00,12.37
1789851645,144917,58,0,1,0,0.00,15.84
1789851646,118401,63,0,1,0,0.00,12.50
1789851647,123883,50,1,2,0,0.00,11.34
1789851648,121365,51,0,1,0,0.00,14.85
1789851649,140845,41,1,2,0,0.00,13.86
1789851650,142324,57,1,2,0,0.00,13.86
1789851651,371801,40,0,1,0,0.00,8.16
1789851652,150279,37,1,2,0,0.00,11.76
1789851653,269754,55,0,1,0,0.00,15.69
1789851654,149229,47,0,1,0,0.00,10.42
1789851655,419702,42,0,2,0,0.00,11.00
1789851656,125175,54,0,2,0,0.00,14.85
1789851657,254646,42,0,1,0,0.00,9.18
1789851658,141117,42,0,1,0,0.00,17.14
1789851659,142586,38,0,0,0,0.00,8.16
1789851660,107054,75,1,3,0,0.00,13.27
1789851661,133521,53,0,1,0,0.00,13.86
1789851662,639985,42,0,1,0,0.00,10.10
1789851663,127452,14,0,0,0,0.00,6.86
1789851664,147916,38,0,1,0,0.00,9.38
1789851665,125379,50,1,2,0,0.00,11.34
1789851666,127840,48,0,1,0,0.00,9.28
1789851667,134301,85,0,1,0,0.00,19.80
1789851668,126760,70,1,2,0,0.00,17.00
1789851669,150218,48,1,1,0,0.00,10.31
1789851670,126676,44,0,1,0,0.00,9.28
1789851671,114132,43,0,1,0,0.00,10.10
1789851672,146587,86,1,3,0,0.00,14.74
1789851673,117041,60,0,1,0,0.00,16.83
1789851674,111494,50,0,1,0,0.00,9.38
1789851675,1189943,54,2,3,0,0.00,10.42
1789851676,140397,46,0,1,0,0.00,14.85
1789851677,1599842,52,0,1,0,0.00,14.00
1789851678,141296,41,2,3,0,0.00,9.18
1789851679,1293740,52,0,1,0,0.00,11.34
1789851680,130191,38,0,1,0,0.00,10.10
1789851681,505635,42,0,1,0,0.00,11.00
1789851682,122081,46,0,1,0,0.00,9.28
